"salary","age","elevel","car","zipcode","credit","brand"
110499.7354,54,3,15,4,354724.1825,"acer"
140893.7791,44,4,20,7,395015.339,"sony"
119159.6517,49,2,1,3,122025.0852,"acer"
20000,56,0,9,1,99629.62146,"sony"
93956.32049,59,1,15,1,458679.8262,"acer"
41365.43328,71,2,7,2,216839.7152,"acer"
94805.61113,32,1,17,1,233216.0707,"acer"
34410.6276,33,4,17,0,450707.3812,"sony"
128298.8212,32,1,19,2,20768.06415,"sony"
100806.9209,58,2,8,4,293106.6546,"acer"
49863.40964,22,1,12,1,156086.6867,"acer"
94554.18804,47,4,12,2,100467.99,"acer"
79637.65823,41,2,1,3,387564.5476,"acer"
87085.57895,40,4,9,2,458378.0004,"acer"
126945.6663,62,3,4,4,211178.9014,"sony"
29080.92083,58,1,13,3,29965.97517,"sony"
147561.7258,28,4,6,8,322196.3147,"sony"
72346.05201,37,3,15,8,403166.447,"sony"
52129.77195,44,3,9,6,73639.45893,"sony"
35640.04161,57,3,10,8,91722.42434,"sony"
100868.9066,39,0,5,2,300078.3626,"acer"
98780.08068,77,1,12,6,139597.9537,"sony"
140685.8197,73,2,8,1,185189.3088,"sony"
109305.1954,31,2,17,0,166310.2379,"sony"
117212.3783,30,3,6,7,260175.807,"sony"
41430.31861,53,2,10,5,7023.300616,"sony"
56118.04644,69,4,2,8,41596.72091,"acer"
79203.78449,75,2,4,0,461032.0939,"sony"
136189.4317,56,0,12,6,152598.1311,"sony"
67249.51459,30,2,11,6,455241.0776,"acer"
22854.2421,72,2,6,1,321523.4878,"sony"
30211.41075,41,0,19,4,481293.5213,"sony"
116690.5653,50,2,10,1,199885.5631,"acer"
94375.87719,27,3,18,4,403469.11,"acer"
91129.12641,75,3,10,6,328625.351,"sony"
94446.2489,67,3,8,5,352264.6121,"sony"
83858.10407,20,4,5,8,51211.42228,"acer"
49898.09807,72,4,12,6,484565.2146,"acer"
27323.5208,30,0,17,8,233145.8521,"sony"
73249.47943,27,0,2,1,49875.72997,"acer"
40408.25989,54,2,14,0,437909.3552,"sony"
48225.18379,25,4,6,3,179703.2016,"sony"
45520.00972,33,1,14,2,138640.2199,"sony"
30372.27565,80,0,5,3,481605.8996,"acer"
33167.37542,26,1,18,6,475809.1777,"sony"
55260.32748,59,2,7,6,450971.8521,"sony"
100862.5066,77,3,14,7,135444.8306,"sony"
33926.48622,42,1,15,5,338957.7912,"sony"
34547.10556,69,4,15,8,178745.3287,"acer"
50400.92157,46,2,11,5,155881.1573,"sony"
36771.82483,66,0,15,3,285592.9044,"acer"
57293.90047,61,3,2,7,254309.3692,"acer"
103162.1155,22,0,11,6,20154.04327,"sony"
84321.91334,40,4,7,7,240352.3575,"acer"
44978.93098,51,3,8,2,30226.27318,"sony"
33261.0419,74,1,2,2,441965.5178,"acer"
138174.402,24,1,19,7,34065.70539,"sony"
146356.9425,74,2,10,5,344798.6671,"sony"
99339.7986,34,0,9,2,6024.31096,"sony"
71182.20266,63,0,6,5,66611.49486,"acer"
71550.5906,31,1,14,0,160777.2432,"acer"
86560.86808,55,3,8,7,381447.6931,"acer"
95906.64061,44,3,16,4,470045.167,"acer"
79439.6358,27,4,6,7,464938.9837,"acer"
39651.73721,76,1,5,6,327289.4095,"acer"
41118.99813,25,4,6,1,90189.79818,"sony"
93839.26542,70,2,9,3,332445.9659,"sony"
113076.8079,45,3,16,1,365643.4332,"acer"
32036.68512,25,3,4,3,74054.9112,"sony"
20000,68,0,3,0,213894.2584,"sony"
39392.14635,30,2,8,2,266690.8952,"sony"
112852.7192,48,4,14,8,407602.7403,"acer"
38512.89603,48,1,10,3,0,"sony"
44428.60558,32,3,10,8,192674.5249,"sony"
126738.6976,28,2,20,8,149647.004,"sony"
136683.3775,24,1,8,4,212461.5516,"sony"
53883.25098,54,4,11,5,89236.34933,"sony"
133290.5005,72,1,9,3,478544.7558,"sony"
123095.006,53,4,18,0,205545.717,"sony"
41013.26647,77,4,3,1,246458.9741,"acer"
39800.44122,63,0,3,0,147013.5681,"acer"
53983.93486,29,3,4,7,237006.2524,"acer"
54807.82635,47,4,16,5,348471.2441,"sony"
140563.9731,45,2,16,7,343021.3822,"sony"
123345.4825,63,1,19,3,141085.0409,"sony"
74953.43325,63,2,4,0,270405.0392,"sony"
23157.49676,73,0,9,0,104250.3463,"acer"
142358.2568,35,3,14,3,248291.2584,"sony"
119209.328,76,3,11,3,35347.59756,"sony"
122807.9438,62,0,6,8,172104.291,"sony"
48938.46071,65,1,8,6,431340.423,"acer"
20000,30,2,2,6,218843.651,"sony"
76509.60173,48,1,14,2,337054.1622,"acer"
20000,51,4,3,0,470921.4124,"sony"
64910.68396,47,3,12,2,256440.2599,"sony"
38812.22676,75,1,18,6,310480.0227,"acer"
69277.56094,20,2,1,4,93838.18629,"acer"
141497.9248,65,2,12,1,406525.6569,"sony"
140088.8312,64,4,4,8,281727.2777,"sony"
34934.23067,46,1,10,1,461915.6023,"sony"
69474.53053,69,4,17,4,387894.2142,"acer"
29272.23437,48,1,15,2,436948.4525,"sony"
64788.44873,79,4,5,1,77918.10245,"acer"
135639.8791,27,4,19,6,19186.17634,"sony"
105017.6357,78,0,8,0,60901.15443,"sony"
30651.27828,70,3,4,6,274973.3405,"sony"
124914.8927,20,3,14,0,422490.7151,"sony"
51554.6034,43,1,6,8,403873.2068,"sony"
41756.58586,30,0,9,8,261237.0119,"sony"
40777.17765,24,3,18,2,389602.4913,"sony"
22852.18355,20,3,19,3,471134.0016,"sony"
46972.72177,58,4,1,3,202696.6148,"sony"
81360.09472,57,2,1,5,464026.0106,"acer"
118399.6735,52,3,2,2,349837.5019,"acer"
97797.99614,51,1,17,0,322701.6857,"acer"
34013.2303,37,4,2,7,35509.86716,"sony"
39825.37599,67,0,8,4,449697.2514,"acer"
42887.81182,68,0,8,5,311664.9223,"acer"
136958.0552,62,3,1,2,471262.0422,"sony"
73966.94405,28,1,4,6,427243.0564,"acer"
58996.45533,43,2,9,4,327786.8183,"sony"
147256.2284,54,0,7,1,494074.745,"sony"
137604.4732,80,2,17,1,129093.431,"sony"
